Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32009131251;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Машина проявочная для интраоральных рентгеновских пленок;;;1;Машина проявочная для интраоральных рентгеновских пленок;1152836.67;RUB;;;;;26.51.66.125: Приборы радиационного неразрушающего контроля;26.51.66.125: Приборы радиационного неразрушающего контроля;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;05.05.2020;05.05.2020;Закупка завершена;;05.05.2020;15.05.2020;
223-ФЗ;№32009130911;Прочие;Антикоррозийное покрытие трубной и профильной продукции методом горячего оцинкования ;;;1;Антикоррозийное покрытие трубной и профильной продукции методом горячего оцинкования  ;1073400.00;RUB;;;;;25.61.11.190: Услуги по нанесению металлических покрытий прочими методами;25.61.11.190: Услуги по нанесению металлических покрытий прочими методами;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;02.05.2020;02.05.2020;Закупка завершена;;02.05.2020;15.05.2020;
223-ФЗ;№32009104792;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Специальная одежда;;;1;Специальная одежда;6411500.00;RUB;;;;;14.12.30.190: Одежда производственная и профессиональная прочая, не включенная в другие группировки;14.12.30.190: Одежда производственная и профессиональная прочая, не включенная в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;23.04.2020;30.04.2020;Закупка завершена;;23.04.2020;14.05.2020;
223-ФЗ;№32009093951;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Специальная обувь;;;1;Специальная обувь;3623433.34;RUB;;;;;15.20.32.129: Обувь специальная прочая, не включенная в другие группировки;15.20.32.129: Обувь специальная прочая, не включенная в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;20.04.2020;29.04.2020;Закупка завершена;;20.04.2020;11.05.2020;
223-ФЗ;№32009109892;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Источник бесперебойного питания;;;1;Источник бесперебойного питания;472843.14;RUB;;;;;26.20.40.110: Устройства и блоки питания вычислительных машин;26.20.40.110: Устройства и блоки питания вычислительных машин;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;27.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009113035;Прочие;"На выполнение строительно-монтажных и пусконаладочных работ, с поставкой оборудования, по строительству объекта: ""Строительство КЛ 0,4кВ протяженностью 1,654 км  для технологического присоединения энергопринимающих устройств колледжа судостроения и прикладных технологий заявителя СПбГКУ «ФКСР» по адресу: г. Санкт-Петербург, ул. Кронштадтская, д. 15, лит. А, ""Реконструкция ТП-36168 для технологического присоединения энергопринимающих устройств колледжа судостроения  (192140/1/8)";;;1;"На выполнение строительно-монтажных и пусконаладочных работ, с поставкой оборудования, по строительству объекта: ""Строительство КЛ 0,4кВ протяженностью 1,654 км  для технологического присоединения энергопринимающих устройств колледжа судостроения и прикладных технологий заявителя СПбГКУ «ФКСР» по адресу: г. Санкт-Петербург, ул. Кронштадтская, д. 15, лит. А, ""Реконструкция ТП-36168 для технологического присоединения энергопринимающих устройств колледжа судостроения и прикладных технологий заявителя СПбГКУ «ФКСР» по адресу: Санкт-Петербург, ул. Кронштадтская, д.15, лит. А"" ТЗ № 18-25049";24487518.00;RUB;;;;;42.22.22: Работы строительные по прокладке местных линий электропередачи и связи;42.22.22: Работы строительные по прокладке местных линий электропередачи и связи;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ ""ЛЕНЭНЕРГО""";;27.04.2020;27.04.2020;Закупка завершена;;27.04.2020;07.05.2020;
223-ФЗ;№32009110260;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Переносные компьютеры с дополнительной комплектацией;;;1;Переносные компьютеры с дополнительной комплектацией;843767.00;RUB;;;;;26.20.11.110: Ноутбуки, в том числе портативные в защищенном исполнении, предназначенные для работы в сложной среде эксплуатации;26.20.11.110: Ноутбуки, в том числе портативные в защищенном исполнении, предназначенные для работы в сложной среде эксплуатации;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009110096;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Многофункциональные устройства;;;1;Многофункциональные устройства;486566.66;RUB;;;;;26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений;26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009110009;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Клиентская лицензия 1С:Предприятие 8ПРОФ на 100 рабочих мест;;;1;Клиентская лицензия 1С:Предприятие 8ПРОФ на 100 рабочих мест;360000.00;RUB;;;;;58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение;58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009109569;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Персональные компьютеры;;;1;Персональные компьютеры;578581.66;RUB;;;;;26.20.15.000: Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода;26.20.15.000: Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
44-ФЗ;№0472100002020000001;Открытый конкурс в электронной форме;Услуги по проведению финансового аудита;;'201780548293878050100100000016920000';;;1179000.00;RUB;;;;;69.20.10.000: Услуги по проведению финансового аудита;69.20.10.000: Услуги по проведению финансового аудита;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";20.03.2020;24.04.2020;Определение поставщика завершено;;20.03.2020;13.04.2020;
223-ФЗ;№32009083171;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Газовое оборудование;;;1;Газовое оборудование;528040.00;RUB;;;;;26.51.66.190: Инструменты, приборы и машины для измерения или контроля прочие, не включенные в другие группировки;26.51.66.190: Инструменты, приборы и машины для измерения или контроля прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;15.04.2020;23.04.2020;Закупка завершена;;15.04.2020;28.04.2020;
223-ФЗ;№32009103773;Прочие;Изготовление и формирование (сборка, сварка, монтаж, сварка на монтаже) в блок секций корпуса понтона пр. ГРПН ;;;1;Изготовление и формирование в блок секций корпуса понтона пр. ГРПН ;9685912.29;RUB;;;;;30.11.99.000: Операции процесса производства судов и плавучих конструкций отдельные, выполняемые субподрядчиком;30.11.99.000: Операции процесса производства судов и плавучих конструкций отдельные, выполняемые субподрядчиком;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;23.04.2020;23.04.2020;Закупка завершена;;23.04.2020;30.04.2020;
223-ФЗ;№32009096830;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Машина проявочная для интраоральных рентгеновских пленок;;;1;Машина проявочная для интраоральных рентгеновских пленок;1152836.67;RUB;;;;;26.51.66.125: Приборы радиационного неразрушающего контроля;26.51.66.125: Приборы радиационного неразрушающего контроля;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;21.04.2020;21.04.2020;Закупка завершена;;21.04.2020;29.04.2020;
223-ФЗ;№32009078151;Прочие;Комплект стеновых и кровельных сэндвич-панелей, изделий для устройства водосточной системы;;;1;Комплект стеновых и кровельных сэндвич-панелей, изделий для устройства водосточной системы ;6907347.00;RUB;;;;;24.33.30.000: Панели многослойные из листового стального плакированного проката;24.33.30.000: Панели многослойные из листового стального плакированного проката;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;14.04.2020;17.04.2020;Закупка завершена;;14.04.2020;24.04.2020;
223-ФЗ;№32009082796;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Комплекс информационных систем управления предприятием 2 и проектами;;;1;Комплекс информационных систем управления предприятием 2 и проектами;672000.00;RUB;;;;;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;15.04.2020;15.04.2020;Закупка завершена;;15.04.2020;23.04.2020;
223-ФЗ;№32009078220;Прочие;Антикоррозийное покрытие трубной и профильной продукции методом горячего оцинкования;;;1;Антикоррозийное покрытие трубной и профильной продукции методом горячего оцинкования ;1073400.00;RUB;;;;;25.61.11.190: Услуги по нанесению металлических покрытий прочими методами;25.61.11.190: Услуги по нанесению металлических покрытий прочими методами;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;14.04.2020;14.04.2020;Закупка завершена;;14.04.2020;24.04.2020;
44-ФЗ;№0372200034820000002;Электронный аукцион;"Оказание услуг по организации и проведению курсов повышения квалификации по программам: ""Устройство, эксплуатация и безопасность обслуживания электроустановок напряжением до и выше 1000В"" и ""Эксплуатация тепловых энергоустановок""и ""Пожарно-технический минимум для руководителей и ответственных за пожарную безопасность в учреждениях (офисах)"". в 2020г.";;'202780505901778050100100240010000000';;;78883.30;RUB;;;;;85.21.12.000: Услуги в области среднего профессионального образования прочие;85.21.12.000: Услуги в области среднего профессионального образования прочие;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";20.03.2020;13.04.2020;Определение поставщика завершено;;20.03.2020;06.04.2020;
44-ФЗ;№0372200034820000003;Электронный аукцион;Поставка металлопроката для учебного процесса в 2020г.;;'202780505901778050100100190020000000';;;638628.11;RUB;;;;;"24.10.66.122: Прокат сортовой горячекатаный квадратный прочий, без дополнительной обработки, включая смотанный после прокатки, из прочих легированных сталей; 24.10.66.121: Прокат сортовой горячекатаный круглый прочий, без дополнительной обработки, включая смотанный после прокатки, из прочих легированных сталей; 24.20.14.110: Трубы некруглого сечения стальные; 24.20.13.160: Трубы стальные водогазопроводные; 24.10.51.000: Прокат листовой из нелегированных сталей, шириной не менее 600 мм, плакированный, с гальваническим или иным покрытием; 24.10.41.000: Прокат листовой холоднокатаный из прочих нелегированных сталей, без дополнительной обработки, шириной не менее 600 мм; 24.10.31.000: Прокат листовой горячекатаный из нелегированных сталей, без дополнительной обработки, шириной не менее 600 мм; 24.10.71.111: Уголки стальные горячекатаные равнополочные из нелегированных сталей; 24.10.32.000: Прокат листовой горячекатаный из нелегированных сталей, без дополнительной обработки, шириной менее 600 мм";"24.10.66.122: Прокат сортовой горячекатаный квадратный прочий, без дополнительной обработки, включая смотанный после прокатки, из прочих легированных сталей; 24.10.66.121: Прокат сортовой горячекатаный круглый прочий, без дополнительной обработки, включая смотанный после прокатки, из прочих легированных сталей; 24.20.14.110: Трубы некруглого сечения стальные; 24.20.13.160: Трубы стальные водогазопроводные; 24.10.51.000: Прокат листовой из нелегированных сталей, шириной не менее 600 мм, плакированный, с гальваническим или иным покрытием; 24.10.41.000: Прокат листовой холоднокатаный из прочих нелегированных сталей, без дополнительной обработки, шириной не менее 600 мм; 24.10.31.000: Прокат листовой горячекатаный из нелегированных сталей, без дополнительной обработки, шириной не менее 600 мм; 24.10.71.111: Уголки стальные горячекатаные равнополочные из нелегированных сталей; 24.10.32.000: Прокат листовой горячекатаный из нелегированных сталей, без дополнительной обработки, шириной менее 600 мм";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";20.03.2020;13.04.2020;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;20.03.2020;06.04.2020;
223-ФЗ;№32008962416;Прочие;Поставка прутков, круглых кованных из сплава 3М;;;1;Поставка прутков, круглых кованных из сплава 3М;494130.00;RUB;;;;;24.45.30.183: Проволока, прутки, профили титановые;24.45.30.183: Проволока, прутки, профили титановые;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;06.03.2020;13.04.2020;Закупка завершена;;06.03.2020;18.05.2020;
223-ФЗ;№32009070154;Закупка у единственного поставщика (подрядчика, исполнителя);Выполнение комплекса работ по реконструкции нежилого здания (лит. А., А1, А2), расположенного по адресу: г. Владивосток, ул. Светланская, д.72;;;1;выполнение комплекса работ по реконструкции нежилого здания (лит. А, А1, А2), расположенного по адресу: г. Владивосток, ул. Светланская, д. 72 ;52299758.00;RUB;;;;;41.20.20.290: Здания нежилые, не включенные в другие группировки;41.20.20.290: Здания нежилые, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;10.04.2020;10.04.2020;Закупка завершена;;10.04.2020;;
223-ФЗ;№32009046000;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Газовое оборудование;;;1;Газовое оборудование;528040.00;RUB;;;;;26.51.66.190: Инструменты, приборы и машины для измерения или контроля прочие, не включенные в другие группировки;26.51.66.190: Инструменты, приборы и машины для измерения или контроля прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;27.03.2020;10.04.2020;Закупка завершена;;27.03.2020;09.04.2020;
223-ФЗ;№32009046320;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Автомобильные шины;;;1;Автомобильные шины;317351.33;RUB;;;;;22.11.13.110: Шины и покрышки пневматические для автобусов, троллейбусов и грузовых автомобилей новые;22.11.13.110: Шины и покрышки пневматические для автобусов, троллейбусов и грузовых автомобилей новые;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;27.03.2020;10.04.2020;Закупка завершена;;27.03.2020;09.04.2020;
223-ФЗ;№32009046139;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Грузозахватные приспособления;;;1;Грузозахватные приспособления;1135131.00;RUB;;;;;25.93.11.140: Стропы и аналогичные изделия из черных металлов без электрической изоляции;25.93.11.140: Стропы и аналогичные изделия из черных металлов без электрической изоляции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;27.03.2020;10.04.2020;Закупка завершена;;27.03.2020;09.04.2020;
223-ФЗ;№32009008460;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Справочно-правовая система Консультант Плюс;;;1;Справочно-правовая система Консультант Плюс;1710000.00;RUB;;;;;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;19.03.2020;07.04.2020;Закупка завершена;;19.03.2020;30.03.2020;
223-ФЗ;№32009008311;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Комплекс информационных систем управления предприятием 2 и проектами;;;1;Комплекс информационных систем управления предприятием 2 и проектами;672000.00;RUB;;;;;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;19.03.2020;07.04.2020;Закупка завершена;;19.03.2020;30.03.2020;
223-ФЗ;№32009055725;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Ремонт кровли цеха № 1 АО «ЮЦСС» по адресу: Астраханская область, Икрянинский район, рп. Красные Баррикады, ул. Рабочая, 1;;;1;Ремонт кровли цеха № 1 АО «ЮЦСС» по адресу: Астраханская область, Икрянинский район, рп. Красные Баррикады, ул. Рабочая, 1;13066304.00;RUB;;;;;43.91.19.110: Работы строительные по устройству любых видов кровельных покрытий зданий и сооружений;43.91.19.110: Работы строительные по устройству любых видов кровельных покрытий зданий и сооружений;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;02.04.2020;02.04.2020;Закупка завершена;;02.04.2020;10.04.2020;
223-ФЗ;№32009046046;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"Колючая проволока ""Егоза""";;;1;"Колючая проволока ""Егоза""";236000.00;RUB;;;;;25.93.12.110: Проволока колючая из черных металлов;25.93.12.110: Проволока колючая из черных металлов;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;27.03.2020;27.03.2020;Закупка отменена;;27.03.2020;06.04.2020;
223-ФЗ;№32009041510;Прочие;Выполнение работ по горячему цинкованию деталей, используемых на заказах гражданского судостроения, согласно технического задания № 95/20-ЗО;;;1;Выполнение работ по горячему цинкованию деталей, используемых на заказах гражданского судостроения, согласно технического задания № 95/20-ЗО;101035000.00;RUB;;;;;25.61.11.111: Услуги по цинкованию горячим способом;25.61.11.111: Услуги по цинкованию горячим способом;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУДОСТРОИТЕЛЬНЫЙ КОМПЛЕКС ""ЗВЕЗДА""";;27.03.2020;27.03.2020;Закупка завершена;;27.03.2020;17.04.2020;
223-ФЗ;№32009028323;Прочие;Выполнение комплекса инженерных изысканий объекту «Реконструкция глубоководной достроечной набережной и строительство площадки для стапельной сборки АО «Адмиралтейские верфи» г. Санкт-Петербург»;;;1;Выполнение комплекса инженерных изысканий объекту «Реконструкция глубоководной достроечной набережной и строительство площадки для стапельной сборки АО «Адмиралтейские верфи» г. Санкт-Петербург»;41681125.87;RUB;;;;;41.10: Документация проектная для строительства;41.10: Документация проектная для строительства;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;25.03.2020;27.03.2020;Закупка завершена;;25.03.2020;13.04.2020;
44-ФЗ;№0172200001220000008;Электронный аукцион;Поставка канцелярских товаров для Комитета по образованию и учреждений, находящихся в его ведении, в 2020 году.;;202780207223578020100100330012229000, 202780207236278020100100450012229000, 202780214235578020100100110012229000, 202780402344178040100100300012229000, 202780403131578040100100380010000000, 202780403881878040100100590012229000, 202780404156078040100100460012229000, 202780410718778040100100100012229000, 202780410930778040100100720012229000, 202780411317378040100100530012229000, 202780415789378040100100280012229000, 202780501047778050100100500012229000, 202780501648678050100100540012229000, 202780505901778050100100220012229000, 202780530535078050100100190012229000, 202780600377978060100100460010000000, 202780602683278060100100260012229000, 202780603945478060100100300012229000, 202780701764778070100100190012229000, 202781019104278100100100340012229000, 202781024863778100100100090012229000, 202781026029678100100100440012229000, 202781106021178110100100420012229000, 202781304763278010100100400012229000, 202781313272978420100100100010000244, 202781329364578130100100680012229000, 202781360457078130100100470012229000, 202781402280078140100100110012229000, 202781601325478160100100260012229000, 202781604610878160100100170012229000, 202781606000778160100100260012229000, 202781700530578170100100420012229000, 202781800782778430100100180012229000, 202781901283778190100100280012229000, 202781902200078140100100910012229244, 202782100675078430100100960012229000, 202782501700878040100100260010000000, 202782504878278410100100440010000000, 202782543079078420100100090012229000, 202782543146678410100100650012229000, 202782570698578420100100470012229000, 202783000205378380100100310012229244;;;1986744.79;RUB;;;;;22.29.25.000: Принадлежности канцелярские или школьные пластмассовые;"22.29.25.000-00000008: Папка пластиковая; 22.29.25.000-00000013: Файл-вкладыш; 22.29.25.000-00000007: Папка пластиковая; 22.29.25.000-00000011: Папка пластиковая; 22.29.25.000-00000010: Папка пластиковая; 22.29.25.000-00000009: Папка пластиковая; 22.29.25.000-00000004: Папка пластиковая";;КОМИТЕТ ПО ОБРАЗОВАНИЮ;13.03.2020;27.03.2020;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;13.03.2020;24.03.2020;
223-ФЗ;№32009040657;Прочие;Изготовление и формирование (сборка, сварка, монтаж, сварка на монтаже) в блок секций корпуса понтона пр. ГРПН;;;1;Изготовление и формирование в блок секций корпуса понтона пр. ГРПН ;9685912.29;RUB;;;;;30.11.99.000: Операции процесса производства судов и плавучих конструкций отдельные, выполняемые субподрядчиком;30.11.99.000: Операции процесса производства судов и плавучих конструкций отдельные, выполняемые субподрядчиком;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;27.03.2020;27.03.2020;Закупка завершена;;27.03.2020;13.04.2020;
223-ФЗ;№32009016759;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"Разработка части рабочей конструкторской документации по разделу: ""СЭУ и системы СЭУ"". ";;;1;"Разработка части рабочей конструкторской документации по разделу: ""СЭУ и системы СЭУ"".";8373333.00;RUB;;;;;71.12.19.000: Услуги по инженерно-техническому проектированию прочих объектов;71.12.19.000: Услуги по инженерно-техническому проектированию прочих объектов;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;23.03.2020;27.03.2020;Закупка завершена;;23.03.2020;13.04.2020;
223-ФЗ;№32009036285;Закупка у единственного поставщика (подрядчика, исполнителя);Закупка программного обеспечения  ;;;1;Закупка программного обеспечения;720000.00;RUB;;;;;58.29.50: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение;58.29.50: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;26.03.2020;26.03.2020;Закупка завершена;;26.03.2020;;
223-ФЗ;№32009007873;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Переносные компьютеры с дополнительной комплектацией;;;1;Переносные компьютеры с дополнительной комплектацией;498780.00;RUB;;;;;26.20.11.110: Ноутбуки, в том числе портативные в защищенном исполнении, предназначенные для работы в сложной среде эксплуатации;26.20.11.110: Ноутбуки, в том числе портативные в защищенном исполнении, предназначенные для работы в сложной среде эксплуатации;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;19.03.2020;26.03.2020;Закупка завершена;;19.03.2020;30.03.2020;
