Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№31908226685;Закупка у единственного поставщика (подрядчика, исполнителя);Закупка одежды;;;1;Закупка одежды;931000.00;RUB;;;;;14.13: Одежда верхняя прочая;14.13: Одежда верхняя прочая;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;22.08.2019;22.08.2019;Закупка завершена;;22.08.2019;;
223-ФЗ;№31908226641;Закупка у единственного поставщика (подрядчика, исполнителя);Выполнение инженерно-геодезических, инженерно-геологических, инженерно-гидрографических, инженерно- гидрометеорологических, инженерно-экологических изысканий по объекту «Строительство, реконструкция и техническое перевооружение (глубокая модернизация) производственных мощностей АО «Онежский судостроительно-судоремонтный завод»;;;1;Выполнение инженерно-геодезических, инженерно-геологических, инженерно-гидрографических, инженерно- гидрометеорологических, инженерно-экологических изысканий по объекту «Строительство, реконструкция и техническое перевооружение (глубокая модернизация) производственных мощностей АО «Онежский судостроительно-судоремонтный завод»;5986680.00;RUB;;;;;41.10: Документация проектная для строительства;41.10: Документация проектная для строительства;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;22.08.2019;22.08.2019;Закупка завершена;;22.08.2019;;
223-ФЗ;№31908222479;Закупка у единственного поставщика (подрядчика, исполнителя);оказание услуг по организации участия предприятий малого и среднего предпринимательства, являющихся участниками судостроительного кластера Астраханской области, на отраслевой российской выставочной площадке «НЕВА -2019» г. Санкт- Петербург в период подготовки и проведения Международной выставки и конференции по гражданскому судостроению, судоходству, деятельности портов и освоению океана и шельфа;;;1;"Оказание услуги по организации участия предприятий малого и среднего предпринимательства, являющихся участниками судостроительного кластера Астраханской области на отраслевой российской выставочной площадке ""НЕВА - 2019"" г. Санкт- Петербург в период подготовки и проведения Международной выставки и конференции по гражданскому судостроению и судоходству, деятельности портов и освоению океана и шельфа";600000.00;RUB;;;;;82.30: Услуги по организации конференций и торговых выставок;82.30: Услуги по организации конференций и торговых выставок;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""АСТРАХАНСКИЙ ОБЛАСТНОЙ ИННОВАЦИОННЫЙ ЦЕНТР""";;21.08.2019;21.08.2019;Закупка завершена;;21.08.2019;;
223-ФЗ;№31908219475;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"Поставка запасных частей и расходных материалов для вычислительной и оргтехники для нужд АО ""ДЦСС""";;;1;Запасные части и расходные материалы для вычислительной и оргтехники ;1748505.03;RUB;;;;;28.23.25: Части и принадлежности прочих офисных машин;28.23.25: Части и принадлежности прочих офисных машин;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;21.08.2019;21.08.2019;Закупка завершена;;21.08.2019;28.08.2019;
223-ФЗ;№31908222011;Прочие;Поставка отливок корпуса по чертежу ИТШЛ.736023.015;;;1;Поставка отливок корпуса по чертежу ИТШЛ.736023.015;1353564.00;RUB;;;;;24.52.10: Услуги по литью стали;24.52.10: Услуги по литью стали;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;21.08.2019;21.08.2019;Закупка завершена;;21.08.2019;31.08.2019;
223-ФЗ;№31908219773;Прочие;"""Выполнение работ по экспертизе промышленной безопасности и техническому освидетельствованию, постановке на учёт в органах Ростехнадзора технического устройства: бака-вытеснителя V=70м3, с внесением изменений в сведения, характеризующие опасный производственный объект, находящийся по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корпус 3; на выполнение работ по техническому освидетельствованию сосудов, работающих под избыточным давлением (рабочее давление - 39,2 МПа), находящихся на площадке по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корпус 3, литера А; на выполнение работ по экспертизе промышленной безопасности с проведением технического освидетельствования сосудов, работающих под избыточным давлением (рабочее давление 39,2 МПа), находящихся на площадке по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корпус 3, литера А; на проведение экспертизы промышленной безопасности здания, находящегося по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, к 3, литера Б.""";;;1;"""Выполнение работ по экспертизе промышленной безопасности и техническому освидетельствованию, постановке на учёт в органах Ростехнадзора технического устройства: бака-вытеснителя V=70м3, с внесением изменений в сведения, характеризующие опасный производственный объект, находящийся по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корпус 3; на выполнение работ по техническому освидетельствованию сосудов, работающих под избыточным давлением (рабочее давление - 39,2 МПа), находящихся на площадке по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корпус 3, литера А; на выполнение работ по экспертизе промышленной безопасности с проведением технического освидетельствования сосудов, работающих под избыточным давлением (рабочее давление 39,2 МПа), находящихся на площадке по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корпус 3, литера А; на проведение экспертизы промышленной безопасности здания, находящегося по адресу:  г. Санкт-Петербург, ул. Трефолева, д. 4, к 3, литера Б.""";809500.00;RUB;;;;;71.20: Услуги в области технических испытаний, исследований, анализа и сертификации;71.20: Услуги в области технических испытаний, исследований, анализа и сертификации;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;21.08.2019;21.08.2019;Закупка завершена;;21.08.2019;31.08.2019;
223-ФЗ;№31908212226;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Поставка инструмента и оснастки для обрабатывающего центра DMU125FG, расположенного по адресу: Санкт-Петербург, ул. Трефолева, дом 2, литера БЕ ;;;1;Поставка инструмента и оснастки для обрабатывающего центра DMU125FG, расположенного по адресу: Санкт-Петербург, ул. Трефолева, дом 2, литера БЕ;11839378.90;RUB;;;;;25.73: Инструмент;25.73: Инструмент;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;19.08.2019;19.08.2019;Закупка завершена;;19.08.2019;03.09.2019;
223-ФЗ;№31908207306;Закупка у единственного поставщика (подрядчика, исполнителя);"Оказание образовательных услуг дополнительного образования (профессиональная переподготовка) по программе ""Правовое регулирование внешнеэкономической деятельности""";;;1;"Оказание образовательных услуг дополнительного образования (профессиональная переподготовка) по программе ""Правовое регулирование внешнеэкономической деятельности""";110000.00;RUB;;;;;85.42.1: Услуги по дополнительному профессиональному образованию;85.42.1: Услуги по дополнительному профессиональному образованию;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;16.08.2019;16.08.2019;Закупка завершена;;16.08.2019;;
223-ФЗ;№31908204521;Закупка у единственного поставщика (подрядчика, исполнителя);Проведение промо-акций на VIP-этаже Спортсооружения во время домашних матчей Хоккейной команды СКА;;;1;Проведение промо-акций на VIP-этаже Спортсооружения во время домашних матчей Хоккейной команды СКА;3960000.00;RUB;;;;;73.11.11: Набор рекламных услуг полный;73.11.11: Набор рекламных услуг полный;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;15.08.2019;15.08.2019;Закупка завершена;;15.08.2019;;
223-ФЗ;№31908196502;Прочие;"Поставка профессионального компьютерного полиграфа для нужд АО ""ДЦСС""";;;1;"Поставка профессионального компьютерного полиграфа для нужд АО ""ДЦСС""";572079.99;RUB;;;;;26.51.45.190: Приборы и аппаратура для измерения или контроля электрических величин прочие, не включенные в другие группировки;26.51.45.190: Приборы и аппаратура для измерения или контроля электрических величин прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;14.08.2019;14.08.2019;Закупка завершена;;14.08.2019;21.08.2019;
223-ФЗ;№31908197413;Прочие;Поставка запасных частей для обрабатывающего центра;;;1;Поставка запасных частей для обрабатывающего центра;363653.92;RUB;;;;;26.51.82.190: Комплектующие (запасные части), не включенные в другие группировки, не имеющие самостоятельных группировок;26.51.82.190: Комплектующие (запасные части), не включенные в другие группировки, не имеющие самостоятельных группировок;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;14.08.2019;14.08.2019;Закупка завершена;;14.08.2019;24.08.2019;
223-ФЗ;№31908195406;Прочие;Открытый запрос предложений в электронной форме на право заключения договора на поставку крепежных изделий (метизов) для строящихся заказов судостроения;;;1;Поставка крепежных изделий (метизов) для строящихся заказов судостроения ;7388153.60;RUB;;;;;25: Изделия металлические готовые, кроме машин и оборудования;25: Изделия металлические готовые, кроме машин и оборудования;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";;13.08.2019;13.08.2019;Закупка завершена;;13.08.2019;23.08.2019;
223-ФЗ;№31908185995;Закупка у единственного поставщика (подрядчика, исполнителя);Разработка проектной документации на строительство паровой котельной производительностью 26,5 т/ч по мероприятию «Реконструкция и техническое перевооружение 2-х камерного сухого дока на «35 судоремонтном заводе» - филиале АО «Центр судоремонта «Звёздочка», г. Мурманск АО «Центр судоремонта «Звёздочка», г. Северодвинск, Архангельская область. 2-й этап»;;;1;Разработка проектной документации на строительство паровой котельной производительностью 26,5 т/ч по мероприятию «Реконструкция и техническое перевооружение 2-х камерного сухого дока на «35 судоремонтном заводе» - филиале АО «Центр судоремонта «Звёздочка», г. Мурманск АО «Центр судоремонта «Звёздочка», г. Северодвинск, Архангельская область. 2-й этап»;3700000.00;RUB;;;;;41.10: Документация проектная для строительства;41.10: Документация проектная для строительства;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;09.08.2019;09.08.2019;Закупка завершена;;09.08.2019;;
223-ФЗ;№31908177245;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Поставка резьбонарезного осевого инструмента.;;;1;Поставка резьбонарезного осевого инструмента;1518905.62;RUB;;;;;25.73: Инструмент;25.73: Инструмент;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;07.08.2019;07.08.2019;Закупка завершена;;07.08.2019;23.08.2019;
223-ФЗ;№31908167826;Прочие;Поставка ПЭВМ в защищенном исполнении;;;1;Поставка ПЭВМ в защищенном исполнении;246400.00;RUB;;;;;26.20.1: Компьютеры, их части и принадлежности;26.20.1: Компьютеры, их части и принадлежности;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;05.08.2019;05.08.2019;Закупка завершена;;05.08.2019;12.08.2019;
44-ФЗ;№0173100009119000154;Открытый конкурс в электронной форме для заключения контракта в сфере науки, культуры или искусства;"НИР шифр ""Оперативность-19"". ""Научно-методическое обоснование путей повышения готовности региональных аварийных медико-дозиметрических центров к аварийному реагированию при радиационных авариях и инцидентах на предприятиях атомного судостроения, судоремонта и предприятиях по обращению с радиоактивными отходами"".";;'191773452141977340100100261417219241';;;30000000.00;RUB;;;;;72.19.30.000: Услуги, связанные с научными исследованиями и экспериментальными разработками в области медицинских наук;72.19.30.000: Услуги, связанные с научными исследованиями и экспериментальными разработками в области медицинских наук;ФЕДЕРАЛЬНОЕ МЕДИКО-БИОЛОГИЧЕСКОЕ АГЕНТСТВО;ФЕДЕРАЛЬНОЕ МЕДИКО-БИОЛОГИЧЕСКОЕ АГЕНТСТВО;11.07.2019;02.08.2019;Определение поставщика завершено;;11.07.2019;02.08.2019;
223-ФЗ;№31908163039;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Оказание услуг по комплексному управлению административными зданиями и прилегающей территорией;;;1;Оказание услуг комплексного обслуживания и содержания административных зданий и прилегающей территории ;31108820.37;RUB;;;;;81.10.10: Услуги по комплексному обслуживанию помещений;81.10.10: Услуги по комплексному обслуживанию помещений;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;02.08.2019;02.08.2019;Закупка отменена;;02.08.2019;13.08.2019;
223-ФЗ;№31908152878;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Выполнение работ по изготовлению деревянных изделий на заказах гражданского судостроения, согласно Технического задания №375/19-ЗП;;;1;Выполнение работ по изготовлению деревянных изделий на заказах гражданского судостроения;5220000.00;RUB;;;;;16.23.1: Изделия деревянные строительные (кроме сборных зданий) и столярные прочие;16.23.1: Изделия деревянные строительные (кроме сборных зданий) и столярные прочие;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУДОСТРОИТЕЛЬНЫЙ КОМПЛЕКС ""ЗВЕЗДА""";;31.07.2019;31.07.2019;Закупка завершена;;31.07.2019;21.08.2019;
