Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№32312132141;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ПРОФЕССИОНАЛЬНОЙ ПАТОЛОГИИ""";;17.02.2023;02.05.2023;Закупка отменена;;17.02.2023;12.05.2023;;;;;
№0573100002021000004;30.11.33.190: Суда прочие;30.11.33.190-00000010: Ледокол;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";10.05.2021;29.06.2021;Определение поставщика завершено;;10.05.2021;28.06.2021;;;;;
№0573100002021000011;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";05.08.2021;29.09.2021;Определение поставщика завершено;;05.08.2021;18.08.2021;;;;;
№0573100002021000014;30.11.33.190: Суда прочие;30.11.33.190-00000010: Ледокол;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";06.10.2021;25.10.2021;Определение поставщика завершено;;06.10.2021;22.10.2021;;;;;
№0573100002021000005;30.11.33.190: Суда прочие;30.11.33.190-00000010: Ледокол;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";18.05.2021;26.07.2021;Определение поставщика завершено;;18.05.2021;14.07.2021;;;;;
№0573100002020000012;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";12.11.2020;22.12.2020;Определение поставщика завершено;;12.11.2020;07.12.2020;;;;;
№0573100002019000006;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";09.08.2019;04.09.2019;Определение поставщика завершено;;12.08.2019;03.09.2019;;;;;
№0573100002020000003;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";01.04.2020;13.05.2020;Определение поставщика завершено;;01.04.2020;28.04.2020;;;;;
№0573100002018000011;30.11.21.114: Паромы пассажирские морские;30.11.21.114: Паромы пассажирские морские;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";26.12.2018;26.12.2018;Определение поставщика завершено;;;;;;;;
№0373100024621000007;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";02.06.2021;12.07.2021;Определение поставщика завершено;;02.06.2021;08.07.2021;;;;;
№31705502687;30.11.3: Суда рыболовные и прочие суда специального назначения;30.11.3: Суда рыболовные и прочие суда специального назначения;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА РОСМОРРЕЧФЛОТА""";;07.09.2017;07.09.2017;Закупка завершена;;07.09.2017;28.09.2017;;;;;
