Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№0358100002225000202;"64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных; 30.11.33.110: Земснаряды";"64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных; 30.11.33.110: Земснаряды";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АЗОВО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АЗОВО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";01.09.2025;25.09.2025;Определение поставщика завершено;;;24.09.2025;;;;;
№0352100012725000053;"64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных; 30.11.33.110: Земснаряды";"64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных; 30.11.33.110: Земснаряды";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";28.08.2025;24.09.2025;Определение поставщика завершено;;;22.09.2025;;;;;
№0319100033325000114;"64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных; 30.11.33.110: Земснаряды";"64.91.10.190: Услуги по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных; 30.11.33.110: Земснаряды";"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"КРАСНОЯРСКИЙ РАЙОН ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА - ФИЛИАЛ ФБУ ""АДМИНИСТРАЦИЯ ЕНИСЕЙСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";11.08.2025;09.09.2025;Определение поставщика завершено;;;05.09.2025;;;;;
№0860200000825002601;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО ТРАНСПОРТА САРАТОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";07.04.2025;17.04.2025;Определение поставщика завершено;;07.04.2025;16.04.2025;;;;;
№0142200001324030482;30.11.21.120: Суда речные пассажирские;30.11.21.000-00000001: Пассажирское судно;МИНИСТЕРСТВО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ САМАРСКОЙ ОБЛАСТИ;КОМИТЕТ ПО ОРГАНИЗАЦИИ ТОРГОВ САМАРСКОЙ ОБЛАСТИ;06.12.2024;16.12.2024;Определение поставщика завершено;;;16.12.2024;;;;;
№0142200001324030481;30.11.21.120: Суда речные пассажирские;30.11.21.000-00000001: Пассажирское судно;МИНИСТЕРСТВО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ САМАРСКОЙ ОБЛАСТИ;КОМИТЕТ ПО ОРГАНИЗАЦИИ ТОРГОВ САМАРСКОЙ ОБЛАСТИ;06.12.2024;16.12.2024;Определение поставщика завершено;;;16.12.2024;;;;;
№0832200006624001505;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР РАЗВИТИЯ ТРАНСПОРТНЫХ СИСТЕМ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР РАЗМЕЩЕНИЯ ЗАКАЗА НИЖЕГОРОДСКОЙ ОБЛАСТИ""";05.12.2024;13.12.2024;Определение поставщика завершено;;05.12.2024;13.12.2024;;;;;
№0860200000824010096;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";03.12.2024;11.12.2024;Определение поставщика завершено;;;11.12.2024;;;;;
№0860200000824010085;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";03.12.2024;11.12.2024;Определение поставщика завершено;;;11.12.2024;;;;;
№0860200000824010084;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";03.12.2024;11.12.2024;Определение поставщика завершено;;;11.12.2024;;;;;
№0129200005324003660;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;КОМИТЕТ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА ВОЛГОГРАДСКОЙ ОБЛАСТИ;КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ;22.11.2024;10.12.2024;Определение поставщика завершено;;22.11.2024;09.12.2024;;;;;
№0860200000824000316;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";02.02.2024;14.02.2024;Определение поставщика завершено;;02.02.2024;14.02.2024;;;;;
№0860200000824000314;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";02.02.2024;14.02.2024;Определение поставщика завершено;;02.02.2024;14.02.2024;;;;;
№0173100009521000052;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;МИНИСТЕРСТВО ПРОМЫШЛЕННОСТИ И ТОРГОВЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ПРОМЫШЛЕННОСТИ И ТОРГОВЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ;29.04.2021;31.05.2021;Определение поставщика завершено;;29.04.2021;31.05.2021;;;;;
№0145200000425000608;30.11.33.190: Суда прочие;30.11.33.190-00000004: Катер (мотолодка);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЛЕНИНГРАДСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ МЕРОПРИЯТИЙ ГРАЖДАНСКОЙ ЗАЩИТЫ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;05.05.2025;23.05.2025;Определение поставщика завершено;;;21.05.2025;;;;;
№0818500000824005907;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";16.08.2024;27.08.2024;Определение поставщика завершено;;16.08.2024;26.08.2024;;;;;
№0818500000824005646;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";08.08.2024;16.08.2024;Определение поставщика завершено;;08.08.2024;16.08.2024;;;;;
№0145200000424000902;30.11.33.190: Суда прочие;30.11.33.190-00000004: Катер (мотолодка);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЛЕНИНГРАДСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ МЕРОПРИЯТИЙ ГРАЖДАНСКОЙ ЗАЩИТЫ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;15.05.2024;24.05.2024;Определение поставщика завершено;;15.05.2024;23.05.2024;;;;;
№0171200001923001380;30.11.50.170: Причалы плавучие;30.11.50.170: Причалы плавучие;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЯРОСЛАВСКОЙ ОБЛАСТИ ""ЕДИНАЯ СЛУЖБА ЗАКАЗЧИКА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;03.05.2023;12.05.2023;Определение поставщика завершено;;03.05.2023;11.05.2023;;;;;
№0122200002526000280;;;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ХАБАРОВСКОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;11.02.2026;30.03.2026;Закупка завершена;;;19.02.2026;;;;;
№1200500023126000002;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";21.01.2026;30.01.2026;Закупка завершена;;;29.01.2026;;;;;
№1200500023126000001;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";13.01.2026;21.01.2026;Закупка завершена;;;21.01.2026;;;;;
№0122200002525004873;;;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ХАБАРОВСКОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;05.12.2025;17.12.2025;Закупка завершена;;;15.12.2025;;;;;
№32515460613;30.11.21.120: Суда речные пассажирские;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНАЯ ДИСПЕТЧЕРСКАЯ СЛУЖБА""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНАЯ ДИСПЕТЧЕРСКАЯ СЛУЖБА""";27.11.2025;16.12.2025;Закупка завершена;;;15.12.2025 10:00;;;;;
№0818500000825006679;;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";10.09.2025;22.09.2025;Закупка завершена;;;18.09.2025;;;;;
№0818500000825005513;;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";29.07.2025;21.08.2025;Определение поставщика отменено;;;06.08.2025;;;;;
№32514992951;30.11.32.111: Буксиры морские;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";29.07.2025;19.09.2025;Закупка отменена;;;08.09.2025 11:00;;;;;
№32514992831;30.11.32.111: Буксиры морские;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";28.07.2025;03.09.2025;Закупка завершена;;;01.08.2025 11:00;;;;;
№32514997315;"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";30.06.2025;31.07.2025;Закупка завершена;;;29.08.2025 11:00;;;;;
№0330300051225000044;;;АДМИНИСТРАЦИЯ ГОРОДА ВОЛОГДЫ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ, ОБСЛУЖИВАЮЩАЯ МУНИЦИПАЛЬНЫЕ УЧРЕЖДЕНИЯ ГОРОДА ВОЛОГДЫ""";16.04.2025;05.05.2025;Закупка завершена;;;05.05.2025;;;;;
№0130300016825000003;;;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА ЧЕРЕПОВЦА;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА ЧЕРЕПОВЦА;03.04.2025;21.04.2025;Закупка завершена;;;21.04.2025;;;;;
№0373100089325000018;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";20.03.2025;31.03.2025;Закупка завершена;;;28.03.2025;;;;;
№0373100089325000006;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";28.02.2025;11.03.2025;Определение поставщика отменено;;;12.03.2025;;;;;
№0352100012724000123;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";28.12.2024;28.01.2025;Закупка завершена;;;24.01.2025;;;;;
№0352100012724000103;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";25.11.2024;12.12.2024;Закупка завершена;;;11.12.2024;;;;;
№0367300047424000331;;;ДЕПАРТАМЕНТ ГОРОДСКОЙ СРЕДЫ АДМИНИСТРАЦИИ ГОРОДА ТОБОЛЬСКА;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ Г. ТОБОЛЬСКА ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОГО ОБСЛУЖИВАНИЯ""";20.11.2024;03.12.2024;Закупка завершена;;;03.12.2024;;;;;
№0367300047424000330;;;ДЕПАРТАМЕНТ ГОРОДСКОЙ СРЕДЫ АДМИНИСТРАЦИИ ГОРОДА ТОБОЛЬСКА;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ Г. ТОБОЛЬСКА ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОГО ОБСЛУЖИВАНИЯ""";20.11.2024;03.12.2024;Закупка завершена;;;03.12.2024;;;;;
№32414166993;30.11.32: Буксиры и суда-толкачи;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕНСКОЕ ОБЪЕДИНЕННОЕ РЕЧНОЕ ПАРОХОДСТВО""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕНСКОЕ ОБЪЕДИНЕННОЕ РЕЧНОЕ ПАРОХОДСТВО""";07.11.2024;07.11.2024;Закупка завершена;;;;;;;;
№0367300047424000293;;;ДЕПАРТАМЕНТ ГОРОДСКОЙ СРЕДЫ АДМИНИСТРАЦИИ ГОРОДА ТОБОЛЬСКА;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ Г. ТОБОЛЬСКА ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОГО ОБСЛУЖИВАНИЯ""";21.10.2024;11.11.2024;Определение поставщика отменено;;;19.11.2024;;;;;
№32414089692;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";16.10.2024;18.10.2024;Закупка завершена;;;28.10.2024 11:00;;;;;
№0352100012724000085;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";19.09.2024;16.10.2024;Закупка завершена;;;07.10.2024;;;;;
№32413852352;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";30.07.2024;16.08.2024;Закупка завершена;;;09.09.2024 11:00;;;;;
№0352100012724000060;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";22.07.2024;03.09.2024;Закупка завершена;;;30.08.2024;;;;;
№32413557523;30.11.32.110: Суда морские буксирные;;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";27.04.2024;08.05.2024;Закупка завершена;;;20.05.2024 10:00;;;;;
№0500500003224000001;;;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";31.03.2024;23.04.2024;Закупка завершена;;;22.04.2024;;;;;
№32313005063;30.11.32.111: Буксиры морские;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";24.11.2023;11.12.2023;Закупка завершена;;;06.12.2023 11:00;;;;;
№32312980196;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";20.11.2023;01.12.2023;Закупка завершена;;;30.11.2023 11:00;;;;;
№32312934014;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";07.11.2023;17.11.2023;Закупка завершена;;;15.11.2023 11:00;;;;;
№32312893410;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";25.10.2023;14.11.2023;Закупка завершена;;;10.11.2023 11:00;;;;;
№32312783730;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";21.09.2023;24.10.2023;Закупка завершена;;;12.10.2023 11:00;;;;;
