Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0818500000824005907;Электронный аукцион;Поставка многофункционального земснаряда;;'242231016844823080100100710023011244';;;78000000.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";16.08.2024;27.08.2024;Определение поставщика завершено;;16.08.2024;26.08.2024;
44-ФЗ;№0818500000824005646;Электронный аукцион;Поставка многофункционального земснаряда;;'242231016844823080100100710013011244';;;78000000.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";08.08.2024;16.08.2024;Определение поставщика завершено;;08.08.2024;16.08.2024;
44-ФЗ;№0145200000424000902;Электронный аукцион;Поставка маломерного судна;;'242782543733047160100102190013011244';;;94500000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190-00000004: Катер (мотолодка);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЛЕНИНГРАДСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ МЕРОПРИЯТИЙ ГРАЖДАНСКОЙ ЗАЩИТЫ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;15.05.2024;24.05.2024;Определение поставщика завершено;;15.05.2024;23.05.2024;
44-ФЗ;№0171200001923001380;Электронный аукцион;Приобретение плавучего объекта (понтонного причала) для причаливания и швартовки грузопассажирского парома на правом и левом берегах реки в г. Тутаеве.;;'232760424193276040100100420013011244';;;80450000.00;RUB;;;;;30.11.50.170: Причалы плавучие;30.11.50.170: Причалы плавучие;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЯРОСЛАВСКОЙ ОБЛАСТИ ""ЕДИНАЯ СЛУЖБА ЗАКАЗЧИКА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;03.05.2023;12.05.2023;Определение поставщика завершено;;03.05.2023;11.05.2023;
44-ФЗ;№0122200002526000280;Электронный аукцион;Поставка земснаряда;;262272108650527220100100540013011412;;;300000000.00;RUB;300000000.00;;;;;;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ХАБАРОВСКОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;11.02.2026;30.03.2026;Закупка завершена;;;19.02.2026;
44-ФЗ;№1200500023126000002;Электронный аукцион;Поставка амфибийного пассажирского судна на воздушной подушке;;262168602804816860100100020023011600;;;78000000.00;RUB;78000000.00;;;;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";21.01.2026;30.01.2026;Закупка завершена;;;29.01.2026;
44-ФЗ;№1200500023126000001;Электронный аукцион;Поставка амфибийного пассажирского судна на воздушной подушке;;262168602804816860100100000013011800;;;78000000.00;RUB;78000000.00;;;;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ РЕСПУБЛИКИ ТАТАРСТАН""";13.01.2026;21.01.2026;Закупка завершена;;;21.01.2026;
44-ФЗ;№0122200002525004873;Электронный аукцион;Оказание услуг по финансовой аренде (лизингу) земснаряда;;252272108650527220100103400010000412;;;285714285.71;RUB;285714285.71;;;;;;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ХАБАРОВСКОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;05.12.2025;17.12.2025;Закупка завершена;;;15.12.2025;
223-ФЗ;№32515460613;Иной способ;выполнение работ по изготовлению (строительству) пассажирского судна на подводных крыльях;;;1;выполнение работ по изготовлению (строительству) пассажирского судна на подводных крыльях;665000000.00;RUB;665000000.00;;;;30.11.21.120: Суда речные пассажирские;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНАЯ ДИСПЕТЧЕРСКАЯ СЛУЖБА""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНАЯ ДИСПЕТЧЕРСКАЯ СЛУЖБА""";27.11.2025;16.12.2025;Закупка завершена;;;15.12.2025 10:00;
44-ФЗ;№0818500000825006679;Электронный аукцион;Многофункциональный самоходный земснаряд-амфибия;;252231016844823080100100140023011244;;;107666666.67;RUB;107666666.67;;;;;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";10.09.2025;22.09.2025;Закупка завершена;;;18.09.2025;
44-ФЗ;№0818500000825005513;Электронный аукцион;Многофункциональный земснаряд;;252231016844823080100100140013011244;;;107666666.67;RUB;107666666.67;;;;;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""УПРАВЛЕНИЕ ПО ЭКСПЛУАТАЦИИ И КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ КРАСНОДАРСКОГО КРАЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";29.07.2025;21.08.2025;Определение поставщика отменено;;;06.08.2025;
223-ФЗ;№32514992951;Иной способ;Запрос цен в неэлектронной форме (№ ЦА 28-25) по выбору организации на право заключения договора на поставку двух буксиров с азимутальными подруливающими устройствами для нужд Дальневосточного бассейнового филиала ФГУП «Росморпорт»;;;1;поставка двух буксиров с азимутальными подруливающими устройствами для нужд Дальневосточного бассейнового филиала ФГУП «Росморпорт».;900000000.00;RUB;900000000.00;;;;30.11.32.111: Буксиры морские;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";29.07.2025;19.09.2025;Закупка отменена;;;08.09.2025 11:00;
223-ФЗ;№32514992831;Иной способ;поставка 3-х единиц мотозавозен (судов-буксиров) для нужд Астраханского филиала ФГУП «Росморпорт» (ЦА 47-25);;;1;поставка 3-х единиц мотозавозен (судов-буксиров) для нужд Астраханского филиала ФГУП «Росморпорт»;483750000.00;RUB;483750000.00;;;;30.11.32.111: Буксиры морские;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";28.07.2025;03.09.2025;Закупка завершена;;;01.08.2025 11:00;
223-ФЗ;№32514997315;Иной способ;запрос котировок в электронной форме  № АЧБФ-Н-250-25 по выбору организации на поставку  самоходной, саморазгружающейся шаланды (грунтовоз) для нужд Азово-Черноморского бассейнового филиала ФГУП «Росморпорт»;;;1;Поставка саморазгружающейся (самоходной) шаланды для Азово-Черноморского бассейнового филиала ФГУП «Росморпорт» (АЧБФ-Н-250-25);135000000.00;RUB;135000000.00;;;;"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";30.06.2025;31.07.2025;Закупка завершена;;;29.08.2025 11:00;
44-ФЗ;№0330300051225000044;Электронный аукцион;Поставка (приобретение) водного транспорта;;253352506493035250100100400013011412;;;421000000.00;RUB;421000000.00;;;;;;АДМИНИСТРАЦИЯ ГОРОДА ВОЛОГДЫ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ, ОБСЛУЖИВАЮЩАЯ МУНИЦИПАЛЬНЫЕ УЧРЕЖДЕНИЯ ГОРОДА ВОЛОГДЫ""";16.04.2025;05.05.2025;Закупка завершена;;;05.05.2025;
44-ФЗ;№0130300016825000003;Электронный аукцион;Поставка пассажирского судна (катамаран);;253352800886035280100100070013011412;;;535000000.00;RUB;535000000.00;;;;;;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА ЧЕРЕПОВЦА;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА ЧЕРЕПОВЦА;03.04.2025;21.04.2025;Закупка завершена;;;21.04.2025;
44-ФЗ;№0373100089325000018;Электронный аукцион;Поставка земснаряда (1 ед) для нужд ФГБВУ «Центррегионводхоз»;;251500802812777250100100100023011244;;;118666666.67;RUB;118666666.67;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";20.03.2025;31.03.2025;Закупка завершена;;;28.03.2025;
44-ФЗ;№0373100089325000006;Электронный аукцион;Поставка земснаряда (1 ед) для нужд ФГБВУ «Центррегионводхоз»;;251500802812777250100100100013011244;;;118666666.67;RUB;118666666.67;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";28.02.2025;11.03.2025;Определение поставщика отменено;;;12.03.2025;
44-ФЗ;№0352100012724000123;Электронный аукцион;Оказание услуг по финансовой аренде (лизингу) несамоходного мелкосидящего земснаряда сборно-разборного типа с гидравлическим и фрезерным рыхлением (производительностью не менее 500 м3/час по грунту) ;;241550400264855040100100410030000244;;;904397792.96;RUB;904397792.96;;;;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";28.12.2024;28.01.2025;Закупка завершена;;;24.01.2025;
44-ФЗ;№0352100012724000103;Электронный аукцион;Оказание услуг по финансовой аренде (лизингу) несамоходного мелкосидящего земснаряда сборно-разборного типа с фрезерным и гидравлическим рыхлением;;241550400264855040100100410020000244;;;904397792.96;RUB;904397792.96;;;;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";25.11.2024;12.12.2024;Закупка завершена;;;11.12.2024;
44-ФЗ;№0367300047424000331;Электронный аукцион;Постройка судов, необходимых для организации переправы в муниципальном образовании город Тобольск;;243720603749472060100101410043011244;;;237820116.14;RUB;237820116.14;;;;;;ДЕПАРТАМЕНТ ГОРОДСКОЙ СРЕДЫ АДМИНИСТРАЦИИ ГОРОДА ТОБОЛЬСКА;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ Г. ТОБОЛЬСКА ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОГО ОБСЛУЖИВАНИЯ""";20.11.2024;03.12.2024;Закупка завершена;;;03.12.2024;
44-ФЗ;№0367300047424000330;Электронный аукцион;Постройка судов, необходимых для организации переправы в муниципальном образовании город Тобольск;;243720603749472060100101410033011244;;;237820116.14;RUB;237820116.14;;;;;;ДЕПАРТАМЕНТ ГОРОДСКОЙ СРЕДЫ АДМИНИСТРАЦИИ ГОРОДА ТОБОЛЬСКА;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ Г. ТОБОЛЬСКА ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОГО ОБСЛУЖИВАНИЯ""";20.11.2024;03.12.2024;Закупка завершена;;;03.12.2024;
223-ФЗ;№32414166993;Иной способ;Поставка буксира-толкача проекта С0751 и сухогрузной баржи ВД-3759 (544);;;1;Поставка буксира-толкача проекта С0751 и сухогрузной баржи ВД-3759;240000000.00;RUB;240000000.00;;;;30.11.32: Буксиры и суда-толкачи;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕНСКОЕ ОБЪЕДИНЕННОЕ РЕЧНОЕ ПАРОХОДСТВО""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕНСКОЕ ОБЪЕДИНЕННОЕ РЕЧНОЕ ПАРОХОДСТВО""";07.11.2024;07.11.2024;Закупка завершена;;;;
44-ФЗ;№0367300047424000293;Электронный аукцион;Постройка судов, необходимых для организации переправы в муниципальном образовании город Тобольск;;243720603749472060100101410013011244;;;475640232.28;RUB;475640232.28;;;;;;ДЕПАРТАМЕНТ ГОРОДСКОЙ СРЕДЫ АДМИНИСТРАЦИИ ГОРОДА ТОБОЛЬСКА;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ Г. ТОБОЛЬСКА ""УПРАВЛЕНИЕ АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОГО ОБСЛУЖИВАНИЯ""";21.10.2024;11.11.2024;Определение поставщика отменено;;;19.11.2024;
223-ФЗ;№32414089692;Иной способ;Поставка двух самоходных самораскрывающихся шаланд для нужд Дальневосточного бассейнового филиала (ЦА 43-24);;;1;Поставка двух самоходных самораскрывающихся шаланд для нужд Дальневосточного бассейнового филиала (ЦА 43-24);622546000.00;RUB;622546000.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";16.10.2024;18.10.2024;Закупка завершена;;;28.10.2024 11:00;
44-ФЗ;№0352100012724000085;Электронный аукцион;Оказание услуг по финансовой аренде (лизингу) несамоходного мелкосидящего земснаряда сборно-разборного типа с фрезерным и гидравлическим рыхлителем;;241550400264855040100100410270000244;;;900940078.96;RUB;900940078.96;;;;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";19.09.2024;16.10.2024;Закупка завершена;;;07.10.2024;
223-ФЗ;№32413852352;Иной способ;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 39-24)";;;1;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 39-24)";176886938.00;RUB;176886938.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";30.07.2024;16.08.2024;Закупка завершена;;;09.09.2024 11:00;
44-ФЗ;№0352100012724000060;Электронный аукцион;Оказание услуг по финансовой аренде (лизингу) несамоходного мелкосидящего земснаряда сборно-разборного типа с фрезерным и гидравлическим рыхлителем;;241550400264855040100100410010000244;;;900940078.96;RUB;900940078.96;;;;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";22.07.2024;03.09.2024;Закупка завершена;;;30.08.2024;
223-ФЗ;№32413557523;Иной способ;Выполнение работ по проектированию и строительству морского буксира и несамоходного плашкоута для нужд областного государственного унитарного предприятия «Дирекция Рыбного порта Магадан»;;;1;Выполнение работ по проектированию и строительству морского буксира и несамоходного плашкоута для нужд областного государственного унитарного предприятия «Дирекция Рыбного порта Магадан»;167079950.00;RUB;167079950.00;;;;30.11.32.110: Суда морские буксирные;;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";27.04.2024;08.05.2024;Закупка завершена;;;20.05.2024 10:00;
44-ФЗ;№0500500003224000001;Открытый конкурс в электронной форме;Выполнение работ по проектированию и строительству морского буксира и несамоходного плашкоута для нужд областного государственного унитарного предприятия «Дирекция Рыбного порта Магадан»;;;;;167079950.00;RUB;167079950.00;;;;;;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ДИРЕКЦИЯ РЫБНОГО ПОРТА МАГАДАН""";31.03.2024;23.04.2024;Закупка завершена;;;22.04.2024;
223-ФЗ;№32313005063;Иной способ;Запрос предложений в электронной форме (№ ЦА 62-23) по выбору организации на право заключения договора на приобретение буксира с азимутальными подруливающими устройствами для нужд Дальневосточного бассейнового филиала ФГУП «Росморпорт»;;;1;Приобретение буксира с азимутальными подруливающими устройствами для нужд Дальневосточного бассейнового филиала ФГУП «Росморпорт» (№ ЦА 62-23);683974240.00;RUB;683974240.00;;;;30.11.32.111: Буксиры морские;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";24.11.2023;11.12.2023;Закупка завершена;;;06.12.2023 11:00;
223-ФЗ;№32312980196;Иной способ;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 82-23)";;;1;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 82-23)";176000000.00;RUB;176000000.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";20.11.2023;01.12.2023;Закупка завершена;;;30.11.2023 11:00;
223-ФЗ;№32312934014;Иной способ;Запрос котировок в электронной форме (№ ЦА 55-23) по выбору организации на право заключения договора на выполнение работ  по проектированию и строительству двух нефтемусоросборщиков  для Дальневосточного бассейнового филиала ФГУП «Росморпорт» ;;;1;Выполнение работ по проектированию и строительству двух нефтемусоросборщиков для Дальневосточного бассейнового филиала ФГУП «Росморпорт» (ЦА 55-23);700000000.00;RUB;700000000.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";07.11.2023;17.11.2023;Закупка завершена;;;15.11.2023 11:00;
223-ФЗ;№32312893410;Иной способ;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 77-23)";;;1;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 77-23)";176000000.00;RUB;176000000.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";25.10.2023;14.11.2023;Закупка завершена;;;10.11.2023 11:00;
223-ФЗ;№32312783730;Иной способ;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 59-23)";;;1;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 59-23)";176000000.00;RUB;176000000.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";21.09.2023;24.10.2023;Закупка завершена;;;12.10.2023 11:00;
44-ФЗ;№0171200001923002874;Электронный аукцион;Приобретение плавучих объектов (комплексов понтонных причалов) для причаливания и швартовки, пассажирских судов.;;232760424193276040100100770013011244;;;328385000.00;RUB;328385000.00;;;;;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЯРОСЛАВСКОЙ ОБЛАСТИ ""ЕДИНАЯ СЛУЖБА ЗАКАЗЧИКА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;08.08.2023;22.08.2023;Определение поставщика отменено;;;24.08.2023;
44-ФЗ;№2300500000323000002;Электронный аукцион;Суда речные пассажирские;;232616720542261670100100020023011452;;;177000000.00;RUB;177000000.00;;;;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";07.08.2023;17.08.2023;Закупка завершена;;;15.08.2023;
