Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32111001581;Прочие;строительство и поставка пассажирского судна RPV 8714;;;1;строительство и поставка пассажирского судна RPV 8714;50;DOL;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;28.12.2021;28.12.2021;Закупка завершена;;28.12.2021;24.01.2022;
223-ФЗ;№32110872199;Прочие;строительство и поставка пассажирского судна RPV 8714;;;1;строительство и поставка пассажирского судна RPV 8714;10;EUR;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;
223-ФЗ;№32110368751;Прочие;Запрос предложений в электронной форме на право заключения договора на оказание услуг по страхованию  всех рисков, возникающих в ходе строительства судна для заказов 05709 и 05712 (3-й и 4-й серийный);;;1;Оказание услуг по страхованию  всех рисков, возникающих в ходе строительства Судна для заказов 05709 и 05712 (3-й и 4-й серийный)  ;40;TEN;;;;;66.2: Услуги вспомогательные в сфере страхования и негосударственного пенсионного обеспечения;66.2: Услуги вспомогательные в сфере страхования и негосударственного пенсионного обеспечения;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";;09.06.2021;25.06.2021;Закупка завершена;;09.06.2021;16.07.2021;
